position,distribution,hit_ranking
1,Manjaro,3900
2,Mint,2597
3,elementary,1746
4,MX Linux,1554
5,Ubuntu,1179
6,Debian,1136
7,Fedora,680
8,openSUSE,659
9,Solus,627
10,CentOS,614
11,Peppermint,526
12,Arco,502
13,Arch,501
14,KDE neon,483
15,ReactOS,471
16,Zorin,457
17,Antergos,446
18,Ubuntu Kylin,416
19,Kali,407
20,Lite,397
21,antiX,375
22,TrueOS,359
23,SmartOS,357
24,Pinguy,348
25,PCLinuxOS,347
26,Arya,346
27,FreeBSD,346
28,Ultimate,338
29,Alpine,325
30,Lubuntu,313
31,KaOS,302
32,Puppy,292
33,Slackware,292
34,Scientific,289
35,Endless,278
36,deepin,271
37,Bodhi,270
38,Tails,270
39,Ubuntu MATE,263
40,Redcore,262
41,Archman,256
42,GuixSD,256
43,AV Linux,250
44,SolydXK,238
45,feren,231
46,Xubuntu,224
47,Bluestar,223
48,Mageia,217
49,Q4OS,210
50,Devuan,209
51,Kubuntu,198
52,Android-x86,196
53,Gentoo,194
54,Red Hat,189
55,SparkyLinux,189
56,Pop!_OS,183
57,ArchLabs,177
58,NetBSD,165
59,Parrot,165
60,LXLE,161
61,ArchBang,157
62,SUSE,156
63,Raspbian,155
64,AUSTRUMI,151
65,KNOPPIX,151
66,ClearOS,149
67,Neptune,148
68,SwagArch,142
69,Nitrux,141
70,BunsenLabs,136
71,4MLinux,134
72,DuZeru,134
73,FreeNAS,130
74,Sabayon,130
75,Greenie,129
76,Star,129
77,wattOS,129
78,Voyager,127
79,Clonezilla,123
80,Gecko,123
81,Ubuntu Budgie,123
82,Shark,122
83,OpenBSD,120
84,NixOS,119
85,Parabola,119
86,DragonFly,118
87,GhostBSD,118
88,Vector,118
89,ROSA,116
90,Tiny Core,114
91,Trisquel,114
92,Ubuntu Studio,113
93,Netrunner,112
94,SteamOS,108
95,Pardus,107
96,BackBox,106
97,BlackArch,106
98,siduction,106
99,Live Raizo,105
100,Qubes,104
101,NST,103
102,Slax,103
103,Ubuntu DP,102
104,Absolute,101
105,Artix,101
106,Pardus Topluluk,100
107,Enso,99
108,Porteus,96
109,Oracle,95
110,Robolinux,91
111,Calculate,86
112,Hyperbola,84
113,Emmabuntüs,81
114,Black Lab,80
115,PureOS,78
116,Void,77
117,ALT,66
118,LibreELEC,65
119,SliTaz,65
120,Container,60
121,NuTyX,59
122,Peach OSI,59
123,Maui,58
124,Chakra,57
125,Secure-K,57
126,NethServer,56
127,Porteus Kiosk,51
128,Salix,49
129,heads,49
130,OpenMandriva,48
131,Haiku,46
132,Zenwalk,46
133,KolibriOS,45
134,CloudReady,43
135,UBports,43
136,Funtoo,41
137,NAS4Free,41
138,ArchStrike,40
139,CRUX,39
140,Clear,39
141,Elive,39
142,GParted,39
143,Legacy,39
144,MakuluLinux,39
145,Namib,39
146,Solaris,39
147,3CX,38
148,Lakka,38
149,MiniNo,37
150,OSMC,37
151,OpenIndiana,37
152,OpenMediaVault,37
153,Pearl,37
154,ToriOS,37
155,Untangle,37
156,Wifislax,37
157,pfSense,37
158,Audiophile,36
159,ExTiX,36
160,MINIX,36
161,IPFire,35
162,LFS,35
163,LinuxConsole,35
164,Super Grub2,35
165,BigLinux,34
166,Kodachi,34
167,Linspire,34
168,Lunar,34
169,SystemRescue,34
