position,distribution,hit_ranking
1,Manjaro,4276
2,Mint,2533
3,elementary,1587
4,Ubuntu,1518
5,MX Linux,1405
6,Debian,1159
7,Fedora,850
8,Solus,809
9,openSUSE,806
10,CentOS,592
11,Arch,535
12,Lite,523
13,Antergos,496
14,Zorin,487
15,Kali,459
16,KDE neon,450
17,ReactOS,443
18,TrueOS,426
19,Endless,424
20,PCLinuxOS,408
21,antiX,402
22,Peppermint,398
23,Lubuntu,386
24,SmartOS,351
25,Ubuntu MATE,346
26,Puppy,330
27,deepin,330
28,FreeBSD,323
29,Devuan,309
30,Xubuntu,303
31,Arco,302
32,Pinguy,297
33,ArchLabs,296
34,Slackware,296
35,SparkyLinux,289
36,Bluestar,282
37,Bodhi,271
38,Archman,265
39,Q4OS,260
40,Tails,258
41,Kubuntu,253
42,BunsenLabs,244
43,Mageia,241
44,LXLE,234
45,Pop!_OS,225
46,Ubuntu Kylin,222
47,Scientific,217
48,Android-x86,214
49,Red Hat,213
50,Gecko,212
51,Gentoo,202
52,KaOS,201
53,KNOPPIX,199
54,Alpine,194
55,Ultimate,188
56,Robolinux,186
57,Voyager,185
58,Parrot,184
59,Ubuntu Budgie,184
60,Redcore,179
61,4MLinux,173
62,Ubuntu Studio,172
63,Greenie,164
64,Emmabuntüs,162
65,feren,162
66,BlackArch,161
67,Porteus,161
68,AV Linux,160
69,ClearOS,156
70,SwagArch,155
71,DragonFly,153
72,ArchBang,144
73,SolydXK,139
74,siduction,138
75,Arya,137
76,Clonezilla,136
77,Sabayon,136
78,Trisquel,136
79,wattOS,134
80,Parabola,133
81,Nitrux,132
82,AUSTRUMI,130
83,NuTyX,129
84,ROSA,125
85,Slax,124
86,Netrunner,122
87,NixOS,121
88,OpenBSD,119
89,Tiny Core,119
90,Artix,118
91,Raspbian,117
92,GhostBSD,116
93,Linuxfx,116
94,Container,114
95,Oracle,114
96,Qubes,114
97,SteamOS,114
98,Vector,114
99,BlankOn,110
100,Absolute,109
101,CRUX,109
102,Ubuntu DP,109
103,BackBox,108
104,NetBSD,106
105,Live Raizo,105
106,Neptune,105
107,GuixSD,104
108,Omarine,99
109,Berry,98
110,NethServer,95
111,Calculate,93
112,SUSE,91
113,Runtu,88
114,Void,88
115,Maui,87
116,Stella,87
117,OpenIndiana,86
118,Black Lab,83
119,PureOS,83
120,Untangle,80
121,FreeNAS,79
122,Kwort,79
123,OSMC,77
124,Enso,76
125,ExTiX,75
126,Proxmox,75
127,SliTaz,71
128,TurnKey,71
129,Elive,70
130,ALT,69
131,LibreELEC,68
132,Zeroshell,68
133,OpenMandriva,67
134,NAS4Free,65
135,Porteus Kiosk,65
136,Lakka,64
137,Star,64
138,Chakra,63
139,Plamo,63
140,UBOS,63
141,DuZeru,62
142,Shark,62
143,Haiku,60
144,Zenwalk,59
145,Pardus,58
146,Peach OSI,58
147,Pisi,58
148,Univention,58
149,RancherOS,56
150,Solaris,56
151,GParted,55
152,Karoshi,55
153,Liquid Lemur,54
