position,distribution,hit_ranking
1,Manjaro,2737
2,Mint,2683
3,Ubuntu,1586
4,Debian,1526
5,elementary,1145
6,Solus,1123
7,Antergos,1025
8,Fedora,941
9,openSUSE,836
10,MX Linux,817
11,TrueOS,766
12,Zorin,650
13,CentOS,593
14,Arch,582
15,Kali,542
16,antiX,528
17,ReactOS,499
18,Lite,487
19,PCLinuxOS,477
20,deepin,457
21,Lubuntu,417
22,KDE neon,407
23,Puppy,401
24,Ubuntu MATE,353
25,Peppermint,346
26,Mageia,340
27,SmartOS,340
28,FreeBSD,334
29,SparkyLinux,329
30,Slackware,307
31,Tails,306
32,Xubuntu,295
33,Devuan,288
34,Endless,288
35,Parrot,285
36,LXLE,278
37,Q4OS,265
38,Android-x86,263
39,ArchLabs,261
40,feren,259
41,Bodhi,251
42,Gentoo,240
43,Kubuntu,238
44,Bluestar,234
45,Ubuntu Budgie,233
46,Redcore,224
47,Red Hat,219
48,KNOPPIX,215
49,Sabayon,214
50,KaOS,210
51,4MLinux,207
52,ArchBang,207
53,Qubes,205
54,Netrunner,195
55,Gecko,193
56,DragonFly,185
57,Voyager,184
58,Tiny Core,183
59,Black Lab,180
60,Ultimate,180
61,BlackArch,176
62,ROSA,173
63,Alpine,170
64,ClearOS,170
65,NixOS,170
66,GhostBSD,169
67,Lakka,167
68,Ubuntu Studio,166
69,Slax,164
70,Robolinux,156
71,LibreELEC,155
72,wattOS,152
73,NuTyX,151
74,Trisquel,150
75,Absolute,146
76,Clonezilla,146
77,OpenBSD,146
78,siduction,146
79,Emmabuntüs,145
80,Calculate,144
81,Porteus,143
82,ExTiX,141
83,Raspbian,140
84,SolydXK,140
85,BackBox,139
86,AUSTRUMI,134
87,Container,134
88,Nitrux,133
89,SteamOS,133
90,SwagArch,133
91,Parabola,132
92,Elive,130
93,Vector,129
94,Chakra,127
95,Oracle,127
96,Scientific,127
97,Ubuntu DP,124
98,Archman,117
99,Maui,116
100,Pop!_OS,116
101,BunsenLabs,113
102,OpenMandriva,112
103,Zenwalk,107
104,Shark,104
105,Artix,103
106,Void,100
107,Pinguy,99
108,Ubuntu Kylin,97
109,AV Linux,92
110,OSMC,88
111,ALT,85
112,Pardus,84
113,Salix,83
114,PureOS,82
115,RancherOS,82
116,OPNsense,80
117,GParted,79
118,Neptune,77
119,Quirky,76
120,pfSense,76
121,NAS4Free,75
122,NetBSD,75
123,OpenIndiana,75
124,Fatdog64,73
125,Arco,72
126,IPFire,72
127,SliTaz,72
128,Arya,71
129,SystemRescue,71
130,FreeNAS,70
131,SUSE,70
132,VyOS,69
133,Live Raizo,68
134,Parted Magic,68
135,UBOS,66
136,Uruk,66
137,CRUX,65
138,MiniNo,65
139,OpenMediaVault,65
140,Runtu,64
141,NethServer,63
142,Berry,61
143,Peach OSI,60
144,Greenie,59
145,MakuluLinux,59
146,Zevenet,59
147,CAINE,58
148,SalentOS,58
149,Subgraph,58
150,Point,57
151,heads,57
152,LFS,56
153,Univention,56
154,BlankOn,55
155,Porteus Kiosk,55
156,Proxmox,55
157,ArchStrike,54
158,KolibriOS,54
159,Untangle,54
160,Legacy,53
161,Star,53
162,3CX,52
163,ChaletOS,51
164,Linuxfx,51
165,Freespire,50
166,LinuxConsole,50
167,Wifislax,50
168,Endian,49
169,Haiku,49
170,Rockstor,49
171,OviOS,48
172,Zeroshell,48
173,Funtoo,47
174,TENS,47
175,LuninuX,46
176,Audiophile,45
177,RSS,45
178,ToriOS,45
179,Kodachi,44
180,Zentyal,44
181,DuZeru,43
182,Karoshi,43
183,MINIX,43
184,Pardus Topluluk,43
185,Pearl,43
186,Plop,43
187,Whonix,43
188,Exe,42
189,OSGeo,42
190,OpenELEC,42
191,RDS,42
192,Clear,41
193,Rocks Cluster,41
194,APODIO,40
195,Enso,40
196,HardenedBSD,40
197,Omarine,40
198,BigLinux,39
199,LinuxBBQ,39
200,Smoothwall,39
201,blackPanther,39
202,DietPi,38
203,Lunar,38
204,Refracta,38
205,BeeFree,37
206,Connochaet,37
207,DEFT,37
208,KXStudio,37
209,Kwort,37
210,NST,37
211,PrimTux,37
212,XStreamOS,37
213,ClonOS,36
214,Cucumber,36
215,Frugalware,36
216,GuixSD,36
217,LinHES,36
218,MirOS,36
219,Pisi,36
220,Toutou,36
221,TurnKey,36
222,Debian Edu,35
223,EasyNAS,35
224,Linspire,35
225,MidnightBSD,35
226,Bicom,34
227,KANOTIX,34
228,Leeenux,34
229,Plamo,34
230,Rescatux,34
231,Super Grub2,34
232,gNewSense,34
233,Bio-Linux,33
234,GoboLinux,33
235,LliureX,33
236,Metamorphose,33
237,MorpheusArch,33
238,Pentoo,33
239,Slackel,33
240,Exherbo,32
241,GNUstep,32
242,Minimal,32
243,Sophos,32
244,Stella,32
245,WM Live,32
246,Asianux,31
247,Edubuntu,31
248,Vine,31
249,AsteriskNOW,30
250,CloudReady,30
251,Daphile,30
252,RISC,30
253,BlueOnyx,29
254,Elastix,29
255,RebeccaBlackOS,29
256,Source Mage,29
257,BSDRP,28
258,CAELinux,28
259,Mangaka,28
260,OLPC,28
261,Photon,28
262,Rebellin,28
263,T2,28
264,UTUTO,28
265,AbulÉdu,27
266,FuguIta,27
267,RasPlex,27
268,Thinstation,27
269,BitKey,26
270,Canaima,26
271,MAX,26
272,RaspBSD,26
273,Securepoint,26
274,Springdale,26
275,Vinux,26
276,paldo,26
277,SME Server,25
278,Swift,25
279,TalkingArch,25
280,UHU-Linux,25
281,Baruwa,24
282,Grml,24
283,NexentaStor,24
284,PLD,24
285,SMS,24
286,ToOpPy,24
287,FreePBX,23
288,Openwall,23
289,SELKS,23
290,Swecha,23
291,Ulteo,23
292,Volumio,23
293,PelicanHPC,22
294,SuliX,22
295,Webconverger,22
296,tuxtrans,22
297,DRBL,21
298,Keysoft,21
299,OB2D,21
300,Omoikane,21
301,Dragora,19
302,Solaris,19
303,UBports,19
304,Liquid Lemur,13
305,AIO,10
306,SuperGamer,10
307,Obarun,9
308,VenenuX,9
309,Namib,8
310,Hyperbola,2
311,Secure-K,0
