position,distribution,hit_ranking
1,Manjaro,3895
2,Mint,2596
3,elementary,1767
4,MX Linux,1573
5,Ubuntu,1187
6,Debian,1143
7,Fedora,686
8,openSUSE,659
9,Solus,625
10,CentOS,617
11,Arco,517
12,ReactOS,504
13,Arch,502
14,KDE neon,483
15,Zorin,461
16,Peppermint,456
17,Antergos,447
18,Ubuntu Kylin,417
19,Kali,410
20,Lite,395
21,antiX,375
22,TrueOS,362
23,SmartOS,358
24,Arya,349
25,PCLinuxOS,348
26,Pinguy,348
27,FreeBSD,347
28,Ultimate,347
29,Alpine,325
30,Lubuntu,313
31,KaOS,302
32,Slackware,299
33,Scientific,291
34,Puppy,290
35,Endless,283
36,Tails,272
37,Bodhi,270
38,Ubuntu MATE,264
39,Redcore,263
40,deepin,262
41,Archman,258
42,GuixSD,258
43,AV Linux,252
44,SolydXK,238
45,Bluestar,235
46,feren,231
47,Xubuntu,224
48,Mageia,217
49,Q4OS,209
50,Devuan,207
51,Kubuntu,198
52,Android-x86,197
53,Gentoo,195
54,Neptune,190
55,SparkyLinux,190
56,Pop!_OS,187
57,Red Hat,184
58,ArchLabs,175
59,NetBSD,172
60,Parrot,167
61,SUSE,165
62,LXLE,161
63,ArchBang,157
64,Raspbian,155
65,Slax,154
66,AUSTRUMI,151
67,KNOPPIX,151
68,ClearOS,150
69,Nitrux,143
70,SwagArch,141
71,FreeNAS,139
72,BunsenLabs,138
73,DuZeru,135
74,Sabayon,130
75,Star,130
76,wattOS,130
77,Greenie,129
78,Voyager,128
79,Shark,123
80,Ubuntu Budgie,122
81,Clonezilla,121
82,OpenBSD,121
83,GhostBSD,119
84,NixOS,119
85,Parabola,119
86,Gecko,118
87,Vector,118
88,ROSA,117
89,Tiny Core,115
90,DragonFly,114
91,Netrunner,113
92,Trisquel,113
93,Ubuntu Studio,113
94,4MLinux,112
95,SteamOS,108
96,BackBox,107
97,Pardus,107
98,siduction,107
99,BlackArch,106
100,Qubes,106
101,Live Raizo,105
102,NST,103
103,Ubuntu DP,103
104,Absolute,101
105,Artix,100
106,Pardus Topluluk,100
107,Porteus,97
108,Oracle,95
109,Robolinux,91
110,Calculate,87
111,Hyperbola,86
112,Emmabuntüs,81
113,Black Lab,79
114,Enso,78
115,PureOS,77
116,Void,77
117,ALT,66
118,ExTiX,66
119,SliTaz,66
120,LibreELEC,64
121,NethServer,61
122,Container,60
123,NuTyX,60
124,Peach OSI,60
125,HardenedBSD,58
126,Secure-K,58
127,Chakra,57
128,Maui,55
129,Salix,49
130,heads,49
131,OpenMandriva,48
132,Zenwalk,46
133,Haiku,45
134,Porteus Kiosk,45
135,CloudReady,44
136,KolibriOS,44
137,Funtoo,43
138,UBports,43
139,ArchStrike,41
140,NAS4Free,41
141,CRUX,40
142,MakuluLinux,40
143,pfSense,40
144,Clear,39
145,GParted,39
146,Legacy,39
147,Namib,39
148,Solaris,39
149,3CX,38
150,Elive,38
151,Lakka,38
152,Pearl,38
153,MiniNo,37
154,OpenIndiana,37
155,OpenMediaVault,37
156,ToriOS,37
157,Wifislax,37
158,Audiophile,36
159,IPFire,36
160,MINIX,36
161,Kodachi,35
162,LFS,35
163,LinuxConsole,35
164,Super Grub2,35
165,Untangle,35
166,BigLinux,34
167,Linspire,34
168,Lunar,34
169,SuperGamer,34
170,SystemRescue,34
171,Whonix,34
172,DietPi,33
173,OPNsense,33
174,OSMC,33
175,Parted Magic,33
176,Subgraph,33
177,blackPanther,33
178,APODIO,32
179,Berry,32
180,CAINE,32
181,Frugalware,32
182,Obarun,32
183,Quirky,32
184,TENS,32
185,BeeFree,31
186,ClonOS,31
187,EasyNAS,31
188,KXStudio,31
189,MidnightBSD,31
190,MirOS,31
191,AIO,30
192,Bio-Linux,30
193,Exherbo,30
194,Metamorphose,30
195,Pentoo,30
196,Runtu,30
197,SalentOS,30
198,XStreamOS,30
199,Connochaet,29
200,DEFT,29
201,Fatdog64,29
202,KANOTIX,29
203,Leeenux,29
204,OpenELEC,29
205,Rockstor,29
206,Toutou,29
207,VyOS,29
208,Zeroshell,29
209,CAELinux,28
210,Daphile,28
211,Freespire,28
212,Linuxfx,28
213,Minimal,28
214,NomadBSD,28
215,Univention,28
216,BlankOn,27
217,Debian Edu,27
218,Dragora,27
219,Elastix,27
220,GoboLinux,27
221,MorpheusArch,27
222,Slackel,27
223,UBOS,27
224,Asianux,26
225,Cucumber,26
226,Exe,26
227,RancherOS,26
228,Stella,26
229,Vine,26
230,Zentyal,26
231,AsteriskNOW,25
232,LuninuX,25
233,Plop,25
234,Proxmox,25
235,RISC,25
236,Rebellin,25
237,Refracta,25
238,Sophos,25
239,T2,25
240,BSDRP,24
241,BlueOnyx,24
242,Endian,24
243,LliureX,24
244,Photon,24
245,Pisi,24
246,Plamo,24
247,RebeccaBlackOS,24
248,Source Mage,24
249,paldo,24
250,FuguIta,23
251,GNUstep,23
252,MAX,23
253,Rocks Cluster,23
254,Thinstation,23
255,UTUTO,23
256,Vinux,23
257,Zevenet,23
258,Canaima,22
259,Liquid Lemur,22
260,Omarine,22
261,RasPlex,22
262,RaspBSD,22
263,Rescatux,22
264,Securepoint,22
265,Springdale,22
266,TalkingArch,22
267,TurnKey,22
268,WM Live,22
269,FreePBX,21
270,LinHES,21
271,NexentaStor,21
272,OviOS,21
273,PLD,21
274,RSS,21
275,SME Server,21
276,Smoothwall,21
277,Swift,21
278,UHU-Linux,21
279,Baruwa,20
280,Bicom,20
281,BitKey,20
282,Grml,20
283,Karoshi,20
284,OLPC,20
285,Openwall,20
286,PrimTux,20
287,SMS,20
288,SuliX,20
289,ToOpPy,20
290,Ulteo,20
291,Uruk,20
292,Kwort,19
293,OB2D,19
294,SELKS,19
295,VenenuX,19
296,Volumio,19
297,Webconverger,19
298,Omoikane,18
299,PelicanHPC,18
300,RDS,18
301,tuxtrans,18
302,DRBL,17
303,OSGeo,17
